Player,School,POS,ATT,YDS,AVG,LNG,TD
Kaidon Salter,LIB,['QB'],['98'],['614'],['6.3'],['43'],['7']
RJ Harvey,UCF,['RB'],['112'],['612'],['5.5'],['54'],['6']
Logan Diggs,LSU,['RB'],['105'],['611'],['5.8'],['35'],['6']
Blake Corum,MICH,['RB'],['111'],['605'],['5.4'],['54'],['13']
Jaydn Ott,CAL,['RB'],['104'],['602'],['5.8'],['66'],['5']
Carson Steele,UCLA,['RB'],['113'],['599'],['5.3'],['42'],['6']
Blake Watson,MEM,['RB'],['103'],['593'],['5.8'],['69'],['7']
Jaylen Wright,TENN,['RB'],['91'],['593'],['6.5'],['42'],['1']
Diego Pavia,NMSU,['QB'],['102'],['592'],['5.8'],['44'],['5']
Darius Taylor,MINN,['RB'],['103'],['591'],['5.7'],['43'],['4']
Nay'Quan Wright,USF,['RB'],['116'],['590'],['5.1'],['47'],['5']
Marquez Cooper,BALL,['RB'],['121'],['584'],['4.8'],['39'],['2']
Malik Jackson,JVST,['RB'],['104'],['578'],['5.6'],['48'],['4']
La'Damian Webb,USA,['RB'],['103'],['578'],['5.6'],['65'],['12']
Kairee Robinson,SJSU,['RB'],['94'],['573'],['6.1'],['35'],['11']
Byrum Brown,USF,['QB'],['130'],['573'],['4.4'],['60'],['8']
Jase McClellan,ALA,['RB'],['122'],['569'],['4.7'],['29'],['4']
Quinshon Judkins,MISS,['RB'],['129'],['567'],['4.4'],['37'],['7']
Emmanuel Michel,AFA,['FB'],['135'],['566'],['4.2'],['22'],['8']
Nathan Carter,MSU,['RB'],['130'],['565'],['4.3'],['44'],['4']
Corey Kiner,CIN,['RB'],['102'],['563'],['5.5'],['68'],['2']
Deion Hankins,UTEP,['RB'],['108'],['562'],['5.2'],['54'],['2']
Jacory Croskey-Merritt,UNM,['RB'],['90'],['545'],['6.1'],['55'],['11']
Harrison Waylee,WYO,['RB'],['75'],['540'],['7.2'],['75'],['3']
Alex Tecza,NAVY,['FB'],['74'],['527'],['7.1'],['75'],['4']
Jayden Daniels,LSU,['QB'],['91'],['521'],['5.7'],['55'],['5']
LeQuint Allen,SYR,['RB'],['106'],['511'],['4.8'],['35'],['7']
Ayo Adeyi,UNT,['RB'],['71'],['507'],['7.1'],['47'],['4']
Jo'Quavious Marks,MSST,['RB'],['97'],['500'],['5.2'],['52'],['4']
Zac Larrier,AFA,['QB'],['97'],['497'],['5.1'],['41'],['4']
Will Shipley,CLEM,['RB'],['106'],['494'],['4.7'],['21'],['3']
Trey Benson,FSU,['RB'],['75'],['489'],['6.5'],['85'],['6']
Davon Booth,USU,['RB'],['84'],['489'],['5.8'],['48'],['4']
Devin Mockobee,PUR,['RB'],['105'],['478'],['4.6'],['21'],['4']
Torrance Burgess Jr.,UTEP,['RB'],['95'],['477'],['5.0'],['40'],['2']
Tyre Shelton,LT,['RB'],['68'],['475'],['7.0'],['56'],['5']
Jalen White,GASO,['RB'],['81'],['475'],['5.9'],['45'],['5']
Dequan Finn,TOL,['QB'],['82'],['472'],['5.8'],['56'],['5']
Larry McCammon,FAU,['RB'],['96'],['472'],['4.9'],['40'],['4']
Leshon Williams,IOWA,['RB'],['86'],['472'],['5.5'],['82'],['1']
Demond Claiborne,WAKE,['RB'],['99'],['471'],['4.8'],['42'],['5']
Kevorian Barnes,UTSA,['RB'],['104'],['469'],['4.5'],['44'],['4']
Jacob Kibodi,UL,['RB'],['64'],['466'],['7.3'],['69'],['5']
Jordan Waters,DUKE,['RB'],['78'],['465'],['6.0'],['83'],['9']
Jamal Haynes,GT,['RB'],['84'],['465'],['5.5'],['67'],['4']
Jordan James,ORE,['RB'],['58'],['463'],['8.0'],['37'],['8']
Daijun Edwards,UGA,['RB'],['80'],['460'],['5.8'],['62'],['6']
Monte Watkins,NMSU,['RB'],['41'],['459'],['11.2'],['80'],['2']
Kadarius Calloway,ODU,['RB'],['41'],['458'],['11.2'],['75'],['3']
Johnny Richardson,UCF,['RB'],['59'],['456'],['7.7'],['79'],['1']
CJ Donaldson Jr.,WVU,['RB'],['116'],['453'],['3.9'],['17'],['6']
Henry Parrish Jr.,MIA,['RB'],['72'],['452'],['6.3'],['37'],['4']
Ja'Quinden Jackson,UTAH,['RB'],['87'],['450'],['5.2'],['44'],['1']
